,Application,Actual Extension
750,SSISUpgrade,SSISUpgrade.exe
751,bcp,bcp.exe
752,SQLCMD,SQLCMD.EXE
753,node,node.exe
754,choco,choco.exe
755,chocolatey,chocolatey.exe
756,cinst,cinst.exe
757,clist,clist.exe
758,cpack,cpack.exe
759,cpush,cpush.exe
760,cuninst,cuninst.exe
761,cup,cup.exe
762,cver,cver.exe
763,bcp,bcp.exe
764,SQLCMD,SQLCMD.EXE
765,ASInstanceRename,ASInstanceRename.exe
766,ConflictViewer,ConflictViewer.exe
767,ControlService,ControlService.exe
768,CopyDatabaseWizard,CopyDatabaseWizard.exe
769,DatabaseMailWizard,DatabaseMailWizard.exe
770,DTExecUI,DTExecUI.exe
771,Microsoft,Microsoft.AnalysisServices.Deployment.exe
772,Ssms,Ssms.exe
773,git-gui,git-gui.exe
774,git-lfs,git-lfs.exe
775,git,git.exe
776,gitk,gitk.exe
777,dotnet,dotnet.exe
778,bcp,bcp.exe
779,SQLCMD,SQLCMD.EXE
780,idle,idle.exe
781,idle3,idle3.7.exe
782,idle3,idle3.exe
783,MicrosoftEdge,MicrosoftEdge.exe
784,PBIDesktopStore,PBIDesktopStore.exe
785,pip,pip.exe
786,pip3,pip3.7.exe
787,pip3,pip3.exe
788,python,python.exe
789,python3,python3.7.exe
790,python3,python3.exe
791,pythonw,pythonw.exe
792,pythonw3,pythonw3.7.exe
793,pythonw3,pythonw3.exe
794,,
