,Application,Actual Extension
680,ssh-keygen,ssh-keygen.exe
681,ssh-keyscan,ssh-keyscan.exe
682,ssh,ssh.exe
683,SqlLocalDB,SqlLocalDB.exe
684,SqlLocalDB,SqlLocalDB.exe
685,DataProfileViewer,DataProfileViewer.exe
686,DTExec,DTExec.exe
687,DtsDebugHost,DtsDebugHost.exe
688,dtshost,dtshost.exe
689,DTSWizard,DTSWizard.exe
690,dtutil,dtutil.exe
691,DataProfileViewer,DataProfileViewer.exe
692,DTExec,DTExec.exe
693,DtsDebugHost,DtsDebugHost.exe
694,dtshost,dtshost.exe
695,DTSWizard,DTSWizard.exe
696,dtutil,dtutil.exe
697,DataProfileViewer,DataProfileViewer.exe
698,DTExec,DTExec.exe
699,DtsDebugHost,DtsDebugHost.exe
700,dtshost,dtshost.exe
701,DTSWizard,DTSWizard.exe
702,dtutil,dtutil.exe
703,DataProfileViewer,DataProfileViewer.exe
704,DTExec,DTExec.exe
705,dtshost,dtshost.exe
706,dtsinstall,dtsinstall.exe
707,DTSWizard,DTSWizard.exe
708,dtutil,dtutil.exe
709,ISDataFeedPublishingWizard,ISDataFeedPublishingWizard.exe
710,ISDBUpgradeWizard,ISDBUpgradeWizard.exe
711,ISDeploymentWizard,ISDeploymentWizard.exe
712,ISProjectWizard,ISProjectWizard.exe
713,ISServerExec,ISServerExec.exe
714,SSISUpgrade,SSISUpgrade.exe
715,DReplay,DReplay.exe
716,DTA,DTA.EXE
717,dtadbxfer,dtadbxfer.exe
718,dtaengine,dtaengine.exe
719,DTASHELL,DTASHELL.EXE
720,OSQL,OSQL.EXE
721,PROFILER,PROFILER.EXE
722,rs,rs.exe
723,rsconfig,rsconfig.exe
724,RSConfigTool,RSConfigTool.exe
725,RSKeyMgmt,RSKeyMgmt.exe
726,SQLdiag,SQLdiag.exe
727,sqlmonitor,sqlmonitor.exe
728,SQLPS,SQLPS.exe
729,SSBDiagnose,SSBDiagnose.exe
730,OSQL,OSQL.EXE
731,SQLdiag,SQLdiag.exe
732,SqlLocalDB,SqlLocalDB.exe
733,SqlLogShip,SqlLogShip.exe
734,DTExec,DTExec.exe
735,dtshost,dtshost.exe
736,dtsinstall,dtsinstall.exe
737,DTSWizard,DTSWizard.exe
738,dtutil,dtutil.exe
739,ISDataFeedPublishingWizard,ISDataFeedPublishingWizard.exe
740,ISDBUpgradeWizard,ISDBUpgradeWizard.exe
741,ISDeploymentWizard,ISDeploymentWizard.exe
742,ISProjectWizard,ISProjectWizard.exe
743,ISServerExec,ISServerExec.exe
744,Microsoft,Microsoft.SqlServer.IntegrationServices.MasterServiceHost.exe
745,Microsoft,Microsoft.SqlServer.IntegrationServices.WorkerAgentServiceHost.exe
746,MsDtsSrvr,MsDtsSrvr.exe
747,sqlceip,sqlceip.exe
748,SSISUpgrade,SSISUpgrade.exe
749,bcp,bcp.exe
750,SQLCMD,SQLCMD.EXE
751,node,node.exe
752,choco,choco.exe
753,chocolatey,chocolatey.exe
754,cinst,cinst.exe
755,clist,clist.exe
756,cpack,cpack.exe
757,cpush,cpush.exe
758,cuninst,cuninst.exe
759,cup,cup.exe
760,cver,cver.exe
761,bcp,bcp.exe
762,SQLCMD,SQLCMD.EXE
763,ASInstanceRename,ASInstanceRename.exe
764,ConflictViewer,ConflictViewer.exe
765,ControlService,ControlService.exe
766,CopyDatabaseWizard,CopyDatabaseWizard.exe
767,DatabaseMailWizard,DatabaseMailWizard.exe
768,DTExecUI,DTExecUI.exe
769,Microsoft,Microsoft.AnalysisServices.Deployment.exe
770,Ssms,Ssms.exe
771,git-gui,git-gui.exe
772,git-lfs,git-lfs.exe
773,git,git.exe
774,gitk,gitk.exe
775,dotnet,dotnet.exe
776,bcp,bcp.exe
777,SQLCMD,SQLCMD.EXE
778,MicrosoftEdge,MicrosoftEdge.exe
779,PBIDesktopStore,PBIDesktopStore.exe
780,python,python.exe
781,python3,python3.exe
782,,
